(+)-Bornane-2,5-dione	CC1(C2CC(=O)C1(CC2=O)C)C
5-Formamidoimidazole-4-carboxamide ribotide	C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)NC=O)C(=O)N
5-Guanidino-2-oxopentanoate	C(CC(=O)C(=O)[O-])CN=C(N)N
5-Hydroxyindoleacetaldehyde	C1=CC2=C(C=C1O)C(=CN2)CC=O
5-Hydroxyindoleacetate	C1=CC2=C(C=C1O)C(=CN2)CC(=O)O
5-Methoxytryptamine	COC1=CC2=C(C=C1)NC=C2CCN
5-Methyltetrahydrofolate	CN1C(CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
5-Methyltetrahydropteroyltri-L-glutamate	CN1C(CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)C(=O)O
5-Methylthio-D-ribose	CSCC1C(C(C(O1)O)O)O
5-Oxoproline	C1CC(=O)NC1C(=O)O
5-Phosphoribosyl 1-pyrophosphate	C(C1C(C(C(O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide	C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)N)C(=O)N
5-amino-1-(5-phosphonato-D-ribosyl)imidazolium-4-carboxylate	
5-phospho-beta-D-ribosylaminium	
5-phosphoribosyl-N-formyl glycineamidine	
5-phosphoribosyl-formylglycinamide	
5-phosphoribosylglycineamide	
5alpha-Cholesta-7,24-dien-3beta-ol	CC(CCC=C(C)C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4)O)C)C
6,7-Dimethyl-8-(D-ribityl)lumazine	CC1=C(N(C2=NC(=O)NC(=O)C2=N1)CC(C(C(CO)O)O)O)C
6-(Hydroxymethyl)-7,8-dihydropterin	C1C(=NC2=C(N1)N=C(NC2=O)N)CO
6-Geranylgeranyl-2,3-dimethylbenzene-1,4-diol	CC1=C(C=C(C(=C1C)O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)O
6-Geranylgeranyl-2-methylbenzene-1,4-diol	CC1=CC(=CC(=C1O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)O
6-Hydroxymethyl-7,8-dihydropterin diphosphate	C1C(=NC2=C(N1)N=C(NC2=O)N)COP(=O)([O-])OP(=O)([O-])[O-]
6-Phospho-D-gluconate	C(C(C(C(C(C(=O)O)O)O)O)O)OP(=O)(O)O
7(1)-Hydroxychlorophyll_a	
7(1)-Hydroxychlorophyllide_a	
7,8-Diaminononanoate	CC(C(CCCCCC(=O)[O-])N)N
7,8-Dihydroneopterin	C1C(=NC2=C(N1)N=C(NC2=O)N)C(C(CO)O)O
7,8-Dihydroneopterin 3'-triphosphate	C1C(=NC2=C(N1)N=C(NC2=O)N)C(C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
8-Amino-7-oxononanoate	CC(C(=O)CCCCCC(=O)[O-])N
9'-cis-Neoxanthin	CC(=CC=CC=C(C)C=CC=C(C)C=C=C1C(CC(CC1(C)O)O)(C)C)C=CC=C(C)C=CC23C(CC(CC2(O3)C)O)(C)C
9(S)-HPOT	CCC=CCC=CC=CC(CCCCCCCC(=O)O)OO
9,10-EOT	CCC=CCC=CC=C1C(O1)CCCCCCCC(=O)O
9,15,9'-tricis-zeta-Carotene	CC(=CCCC(=CCCC(=CC=CC(=CC=CC=C(C)C=CC=C(C)CCC=C(C)CCC=C(C)C)C)C)C)C
9,9'-dicis-zeta-Carotene	CC(=CCCC(=CCCC(=CC=CC(=CC=CC=C(C)C=CC=C(C)CCC=C(C)CCC=C(C)C)C)C)C)C
9-cis-10'-Apo-beta-carotenal	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=O)C)C
9-cis-Epoxycarotenoid	
