accession/condition,NCBI accessions
Got-22,ERR1588845;ERR1588845;ERR1588845
HR-10,"SRR3460303;SRR3460303;SRR3460304;SRR3460305;SRR3460306;SRR3460307;SRR3460308;SRR3460309;SRR3460310;SRR3460311;SRR3460312;SRR3460313;SRR3460314;SRR3460315;SRR3460316;SRR3460317;SRR3460303, SRR3460304, SRR3460305, SRR3460306, SRR3460307, SRR3460308, SRR3460309, SRR3460310, SRR3460311, SRR3460312, SRR3460313, SRR3460314, SRR3460315, SRR3460316, SRR3460317"
Hs-0,SRR748654;SRR748654;SRR748654;SRR748654;SRR748654
IP-Alo-0,"SRR3461927;SRR3461927;SRR3461928;SRR3461929;SRR3461930;SRR3461931;SRR3461932;SRR3461933;SRR3461927, SRR3461928, SRR3461929, SRR3461930, SRR3461931, SRR3461932, SRR3461933"
IP-Hom-4,"SRR3462167;SRR3462167;SRR3462168;SRR3462167, SRR3462168"
IP-Hum-2,"SRR3462181;SRR3462181;SRR3462182;SRR3462183;SRR3462184;SRR3462185;SRR3462186;SRR3462187;SRR3462181, SRR3462182, SRR3462183, SRR3462184, SRR3462185, SRR3462186, SRR3462187"
Iasi-1,"SRR3463367;SRR3463367;SRR3463368;SRR3463367, SRR3463368"
Ishikawa,"SRR7764253;SRR7764253;SRR7764254;SRR7764240;SRR7764256;SRR7764255;SRR7764258;SRR7764257;SRR7764259;SRR7764245;SRR7764246;SRR7764247;SRR7764248;SRR7764241;SRR7764242;SRR7764243;SRR7764244;SRR7764249;SRR7764250;SRR7764252;SRR7764251;SRR7764253;SRR7764254;SRR7764240;SRR7764256;SRR7764255;SRR7764258;SRR7764257;SRR7764259;SRR7764245;SRR7764246;SRR7764247;SRR7764248;SRR7764241;SRR7764242;SRR7764243;SRR7764244;SRR7764249;SRR7764250;SRR7764252;SRR7764251;SRR7764253, SRR7764254, SRR7764240, SRR7764256, SRR7764255, SRR7764258, SRR7764257, SRR7764259, SRR7764245, SRR7764246, SRR7764247, SRR7764248, SRR7764241, SRR7764242, SRR7764243, SRR7764244, SRR7764249, SRR7764250, SRR7764252, SRR7764251;SRR7764253;SRR7764254;SRR7764240;SRR7764256;SRR7764255;SRR7764258;SRR7764257;SRR7764259;SRR7764245;SRR7764246;SRR7764247;SRR7764248;SRR7764241;SRR7764242;SRR7764243;SRR7764244;SRR7764249;SRR7764250;SRR7764252;SRR7764251"
Ita-0,ERR1417902;ERR1417902;ERR1417902
Kar-1,"SRR748661;SRR748661;SRR3461038;SRR3461039;SRR3461040;SRR3461041;SRR3461042;SRR3461043;SRR3461044;SRR23878728;SRR23878583;SRR23878551;SRR23878618;SRR748661;SRR3461038;SRR3461039;SRR3461040;SRR3461041;SRR3461042;SRR3461043;SRR3461044;SRR23878728;SRR23878583;SRR23878551;SRR23878618;SRR748661;SRR3461038;SRR3461039;SRR3461040;SRR3461041;SRR3461042;SRR3461043;SRR3461044;SRR23878728;SRR23878583;SRR23878551;SRR23878618;SRR748661, SRR3461038, SRR3461039, SRR3461040, SRR3461041, SRR3461042, SRR3461043, SRR3461044, SRR23878728, SRR23878583, SRR23878551, SRR23878618"
Kas-1,SRR748662;SRR748662;SRR748662;SRR748662;SRR748662
Kelsterbach-2,CRR624274;CRR624274;CRR624274
Ket-10,CRR624282;CRR624282;CRR624282
Kew-1,ERR9435031;ERR9435031;ERR9435031
Kondara,SRR748668;SRR748668;SRR748668;SRR748668;SRR748668
Kyo-1,SRR26784026;SRR26784026;SRR26784026;SRR26784026;SRR26784026
Kz-9,SRR748672;SRR748672;SRR748672;SRR748672;SRR748672
LI-OF-095,CRR624273;CRR624273;CRR624273;CRR624273
Ler-0,"SRR1046864;SRR1046864;SRR1179968;SRR1179969;SRR1179970;SRR1179971;SRR1179972;SRR1179973;SRR7100820;SRR7100821;SRR7100822;SRR7100823;SRR7100824;SRR7100825;SRR23238039;SRR1046864;SRR1179968;SRR1179969;SRR1179970;SRR1179971;SRR1179972;SRR1179973;SRR7100820;SRR7100821;SRR7100822;SRR7100823;SRR7100824;SRR7100825;SRR23238039;SRR1046864;SRR1179968;SRR1179969;SRR1179970;SRR1179971;SRR1179972;SRR1179973;SRR7100820;SRR7100821;SRR7100822;SRR7100823;SRR7100824;SRR7100825;SRR23238039;SRR1046864, SRR1179968, SRR1179969, SRR1179970, SRR1179971, SRR1179972, SRR1179973, SRR7100820, SRR7100821, SRR7100822, SRR7100823, SRR7100824, SRR7100825, SRR23238039;SRR1046864;SRR1179968;SRR1179969;SRR1179970;SRR1179971;SRR1179972;SRR1179973;SRR7100820;SRR7100821;SRR7100822;SRR7100823;SRR7100824;SRR7100825;SRR23238039"
