(2R,3S)-3-Isopropylmalate	CC(C)C(C(C(=O)[O-])O)C(=O)[O-]
dTDP-L-rhamnose	CC1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O)O)O
dTMP	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)O)O
dTTP	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
dUDP	C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)O)O
dUMP	C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)O)O
dUTP	C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
delta-Tocopherol	CC1=CC(=CC2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)O
di-trans,poly-cis-Decaprenyl diphosphate	
di-trans,poly-cis-Heptaprenyl diphosphate	
di-trans,poly-cis-Hexaprenyl diphosphate	
di-trans,poly-cis-Nonaprenyl diphosphate	
di-trans,poly-cis-Octaprenyl diphosphate	
di-trans,poly-cis-Pentaprenyl diphosphate	
di-trans,poly-cis-Undecaprenyl diphosphate	
ent-Copalyl diphosphate	CC(=CCOP(=O)(O)OP(=O)(O)O)CCC1C(=C)CCC2C1(CCCC2(C)C)C
ent-Kaurene	CC1(CCCC2(C1CCC34C2CCC(C3)C(=C)C4)C)C
epsilon-Carotene	CC1=CCCC(C1C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CCCC2(C)C)C)C)C)(C)C
gamma-Tocopherol	CC1=C(C=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)C)O
myo-Inositol	C1(C(C(C(C(C1O)O)O)O)O)O
myo-Inositol 4-phosphate	C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O
p-Coumaroyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC4=CC=C(C=C4)O)O
p-Coumaroylagmatine	C1=CC(=CC=C1C=CC(=O)NCCCCN=C(N)N)O
sn-Glycero-3-phosphocholine	C[N+](C)(C)CCOP(=O)([O-])OCC(CO)O
sn-Glycero-3-phosphoethanolamine	C(COP(=O)(O)OCC(CO)O)N
tRNA(Ala)	
tRNA(Arg)	
tRNA(Asn)	
tRNA(Asp)	
tRNA(Cys)	
tRNA(Gln)	
tRNA(Gly)	
tRNA(His)	
tRNA(Ile)	
tRNA(Leu)	
tRNA(Lys)	
tRNA(Met)	
tRNA(Phe)	
tRNA(Pro)	
tRNA(Ser)	
tRNA(Thr)	
tRNA(Trp)	
tRNA(Tyr)	
tRNA(Val)	
trans,trans,cis-Geranylgeranyl diphosphate	CC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C)C
trans-2,3-Dehydroacyl-[acyl-carrier protein]	C=CC(=O)S
trans-4-Carboxymethylenebut-2-en-4-olide	C1=CC(=O)OC1=CC(=O)O
trans-Cinnamate	C1=CC=C(C=C1)C=CC(=O)[O-]
trans-Cinnamoyl beta-D-glucoside	C1=CC=C(C=C1)C=CC(=O)OC2C(C(C(C(O2)CO)O)O)O
(+)-Sandaracopimaradiene	CC1(CCCC2(C1CCC3=CC(CCC32)(C)C=C)C)C
(11Z,14Z)-Icosadienoyl-CoA	CCCCCC=CCC=CCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(11Z,14Z,17Z)-Icosatrienoyl-CoA	CCC=CCC=CCC=CCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(2R)-2-Hydroxy-2-methylbutanenitrile	CCC(C)(C#N)O
(2R,3S)-2,3-Dimethylmalate	CC(C(=O)[O-])C(C)(C(=O)[O-])O
(3S)-3-Hydroxycyclocitral	CC1=C(C(CC(C1)O)(C)C)C=O
(6Z,9Z)-Octadecadienoyl-CoA	CCCCCCCCC=CCC=CCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(6Z,9Z,12Z,15Z)-Octadecatetraenoyl-CoA	CCC=CCC=CCC=CCC=CCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(6Z,9Z,12Z,15Z,18Z)-Tetracosapentaenoyl-CoA	CCCCCC=CCC=CCC=CCC=CCC=CCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosahexaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCC=CCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(8Z,11Z)-Icosadienoyl-CoA	CCCCCCCCC=CCC=CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(8Z,11Z,14Z,17Z)-Icosatetraenoyl-CoA	CCC=CCC=CCC=CCC=CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(9S,13S,15Z)-12-Oxo-10,11-dihydrophyto-15-enoate	CCC=CCC1C(CCC1=O)CCCCCCCC(=O)O
(9S,13S,15Z)-12-Oxophyto-10,15-dienoate	CCC=CCC1C(C=CC1=O)CCCCCCCC(=O)O
(9Z,12Z,15Z)-Octadecatrienoyl-CoA	CCC=CCC=CCC=CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(9Z,12Z,15Z,18Z)-Tetracosatetraenoyl-CoA	CCCCCC=CCC=CCC=CCC=CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(9Z,12Z,15Z,18Z,21Z)-Tetracosapentaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(R)-3-(3,4-Dihydroxyphenyl)lactate	C1=CC(=C(C=C1CC(C(=O)O)O)O)O
(R)-3-(4-Hydroxyphenyl)lactate	C1=CC(=CC=C1CC(C(=O)[O-])O)O
(R)-Mevalonate	CC(CCO)(CC(=O)[O-])O
(S)-2,3-Epoxysqualene	CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC1C(O1)(C)C)C)C)C
(S)-2-Hydroxyacid	
(S)-4-Hydroxymandelonitrile	C1=CC(=CC=C1C(C#N)O)O
(S)-Lactaldehyde	CC(C=O)O
(S)-Limonene	CC1=CCC(CC1)C(=C)C
(S)-Propane-1,2-diol	CC(CO)O
(S)-Scoulerine	COC1=C(C2=C(CC3C4=CC(=C(C=C4CCN3C2)OC)O)C=C1)O
1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	
1,2-Diacyl-sn-glycerol	
1-(1-Alkenyl)-sn-glycero-3-phosphocholine	
1-Acyl-sn-glycero-3-phosphocholine	
1-Acyl-sn-glycero-3-phosphoethanolamine	
1-Acylglycerol	
1-Aminocyclopropane-1-carboxylate	C1CC1(C(=O)O)N
1-Octanol	CCCCCCCCO
1-Organyl-2-lyso-sn-glycero-3-phosphocholine	
1-Pyrroline-2-carboxylate	C1CC(=NC1)C(=O)[O-]
1-Radyl-2-acyl-sn-glycero-3-phosphocholine	C[N+](C)(C)CCOP(=O)(O)OCC(CO)OC=O
12(S)-HPETE	CCCCCC=CCC(C=CC=CCC=CCCCC(=O)O)OO
12-Oxo-9(Z)-dodecenoic acid	C(CCCC=CCC=O)CCCC(=O)O
13(S)-HPOT	CCC=CCC(C=CC=CCCCCCCCC(=O)O)OO
1D-myo-Inositol 1,3,4-trisphosphate	C1(C(C(C(C(C1OP(=O)(O)O)O)OP(=O)(O)O)OP(=O)(O)O)O)O
1D-myo-Inositol 1,4-bisphosphate	C1(C(C(C(C(C1OP(=O)(O)O)O)O)OP(=O)(O)O)O)O
2'-Deoxymugineic acid	C1CN(C1C(=O)O)CCC(C(=O)O)NCCC(C(=O)O)O
2'-Deoxyribonucleoside diphosphate	
2,7,4'-Trihydroxyisoflavanone	C1=CC(=CC=C1C2C(OC3=C(C2=O)C=CC(=C3)O)O)O
2,7-Dihydroxy-4'-methoxyisoflavanone	COC1=CC=C(C=C1)C2C(OC3=C(C2=O)C=CC(=C3)O)O
2-(Glutathione-S-yl)-hydroquinone	C1=CC(=C(C=C1O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O
2-Acyl-4-prenylphloroglucinol	
2-Acylglycerol	C(C(CO)OC=O)O
2-Acylphloroglucinol	
2-Amino-3-carboxymuconate semialdehyde	C(=CC(=C(C(=O)O)N)C(=O)O)C=O
2-Aminomuconate semialdehyde	C(=CC=O)C=C(C(=O)O)N
2-Dehydro-3-deoxy-L-rhamnonate	CC(C(CC(=O)C(=O)[O-])O)O
2-Hydroxy-2,3-dihydrogenistein	C1=CC(=CC=C1C2C(OC3=CC(=CC(=C3C2=O)O)O)O)O
3''-Deamino-3''-oxonicotianamine	C1CN(C1C(=O)O)CCC(C(=O)O)NCCC(=O)C(=O)O
3',5'-Cyclic AMP	C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O
3',5'-Cyclic GMP	C1C2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)OP(=O)(O1)O
3,4-Dihydroxymandelaldehyde	C1=CC(=C(C=C1C(C=O)O)O)O
3,4-Dihydroxymandelate	C1=CC(=C(C=C1C(C(=O)O)O)O)O
3,4-Dihydroxyphenylacetaldehyde	C1=CC(=C(C=C1CC=O)O)O
3,4-Dihydroxyphenylacetate	C1=CC(=C(C=C1CC(=O)[O-])O)O
3,4-Dihydroxyphenylethyleneglycol	C1=CC(=C(C=C1C(CO)O)O)O
3,6-Nonadienal	CCC=CCC=CCC=O
3-(3,4-Dihydroxyphenyl)pyruvate	C1=CC(=C(C=C1CC(=O)C(=O)[O-])O)O
3-Dehydrosphinganine	CCCCCCCCCCCCCCCC(=O)C(CO)N
3-Fumarylpyruvate	C(C(=O)C=CC(=O)O)C(=O)C(=O)O
3-Hexaprenyl-4-hydroxybenzoate	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C=CC(=C1)C(=O)O)O)C)C)C)C)C)C
3-Hexenal	CCC=CCC=O
3-Hexenol	CCC=CCCO
3-Hydroxyglutaryl-[acp] methyl ester	
3-Hydroxyoctadecanoyl-CoA	CCCCCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-Hydroxypimeloyl-[acp] methyl ester	
3-Keto-beta-D-galactose	C(C1C(C(=O)C(C(O1)O)O)O)O
3-Ketolactose	C(C1C(C(=O)C(C(O1)OC(C(CO)O)C(C(C=O)O)O)O)O)O
3-Methylcrotonyl-CoA	CC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C
3-Nonaprenyl-4-hydroxybenzoate	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C=CC(=C1)C(=O)O)O)C)C)C)C)C)C)C)C)C
3-Octaprenyl-4-hydroxybenzoate	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C=CC(=C1)C(=O)O)[O-])C)C)C)C)C)C)C)C
3-Oxostearoyl-CoA	CCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate	CC12CCC(=O)C(C1CCC2=O)CCC(=O)[O-]
3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl-CoA	CC12CCC(=O)C(C1CCC2=O)CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)OP(=O)([O-])[O-])O
3-alpha(S)-Strictosidine	COC(=O)C1=COC(C(C1CC2C3=C(CCN2)C4=CC=CC=C4N3)C=C)OC5C(C(C(C(O5)CO)O)O)O
4-Coumarate	C1=CC(=CC=C1C=CC(=O)O)O
4-Hydroxybenzoate	C1=CC(=CC=C1C(=O)O)O
4-Nitrophenol	C1=CC(=CC=C1[N+](=O)[O-])O
4-Nitrophenyl phosphate	C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)O
5-Amino-2-oxopentanoic acid	C(CC(=O)C(=O)O)CN
5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	C1=C(N(C=N1)C2C(C(C(O2)COP(=O)(O)O)O)O)NC(=O)O
5-Fluorodeoxyuridine diphosphate	C1C(C(OC1N2C=C(C(=O)NC2=O)F)COP(=O)(O)OP(=O)(O)O)O
5-Fluorouridine diphosphate	C1=C(C(=O)NC(=O)N1C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O)F
6-Deoxy-5-ketofructose 1-phosphate	CC(=O)C(C(C(=O)COP(=O)(O)O)O)O
8,11,14-Eicosatrienoyl-CoA	CCCCCC=CCC=CCC=CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
9(S)-HPODE	CCCCCC=CC=CC(CCCCCCCC(=O)O)OO
9-Oxononanoic acid	C(CCCC=O)CCCC(=O)O
9alpha-Copalyl diphosphate	CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])CCC1C(=C)CCC2C1(CCCC2(C)C)C
9beta-Pimara-7,15-diene	CC1(CCCC2(C1CC=C3C2CCC(C3)(C)C=C)C)C
Abscisic aldehyde	CC1=CC(=O)CC(C1(C=CC(=CC=O)C)O)(C)C
Acetone cyanohydrin	CC(C)(C#N)O
Alkane	
Amygdalin	C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O
Benzoate	C1=CC=C(C=C1)C(=O)[O-]
Crocetin dialdehyde	CC(=CC=CC=C(C)C=CC=C(C)C=O)C=CC=C(C)C=O
Cyanoglycoside	
Cyanohydrin	
Cycloartenol	CC(CCC=C(C)C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)O)C)C
Cyclobutadipyrimidine	
Cyclopentanol	C1CCC(C1)O
Cyclopentanone	C1CCC(=O)C1
D-4'-Phosphopantothenate	CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)O)O
D-Arginine	C(CC(C(=O)O)N)CN=C(N)N
D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC3C(C(C(C(O3)O)O)O)O)O)O)O)O)O)O)O
D-Galactose	C(C1C(C(C(C(O1)O)O)O)O)O
D-Glucosamine	C(C1C(C(C(C(O1)O)N)O)O)O
D-Mannose	C(C1C(C(C(C(O1)O)O)O)O)O
D-Ornithine	C(CC(C(=O)O)N)CN
D-Proline	C1CC(NC1)C(=O)O
D-Xylulose	C(C(C(C(=O)CO)O)O)O
D-myo-Inositol 1,2,4,5,6-pentakisphosphate	C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)O
D-myo-Inositol 3,4-bisphosphate	C1(C(C(C(C(C1O)OP(=O)(O)O)OP(=O)(O)O)O)O)O
DL-Glycerol 1-phosphate	C(C(COP(=O)(O)O)O)O
Daidzein	C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O
Decanoic acid	CCCCCCCCCC(=O)O
Dehydroalanine	C=C(C(=O)O)N
Deoxyadenosine	C1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O
Deoxyguanosine	C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)CO)O
Dhurrin	C1=CC(=CC=C1C(C#N)OC2C(C(C(C(O2)CO)O)O)O)O
Digalactosyl-diacylglycerol	
Digalactosylceramide	
Eicosanoyl-CoA	CCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
Enoylglutaryl-[acp] methyl ester	
Enoylpimeloyl-[acp] methyl ester	
Epimelibiose	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O
Ethanol	CCO
FADH2	CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)CC(C(C(COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)O
Ferricytochrome b5	
Ferrocytochrome b5	
Formaldehyde	C=O
Formononetin	COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O
Galactosylceramide	CCCCCCCCCCCCCCCCCC(=O)NC(COC1C(C(C(C(O1)CO)O)O)O)C(C=CCCCCCCCCCCCCCC)O
Genistein	C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
Geranial	CC(=CCCC(=CC=O)C)C
Geranic acid	CC(=CCCC(=CC(=O)O)C)C
Geraniol	CC(=CCCC(=CCO)C)C
Guanosine 3',5'-bis(diphosphate)	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)OP(=O)(O)OP(=O)(O)O)O)N=C(NC2=O)N
Hydroxyproline	C1C(CNC1C(=O)O)O
Icosanoic acid	CCCCCCCCCCCCCCCCCCCC(=O)O
Icosenoyl-CoA	CCCCCCCCC=CCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
Iodide	[I-]
Iodine	II
Isocorypalmine	COC1=C(C2=C(CC3C4=CC(=C(C=C4CCN3C2)OC)O)C=C1)OC
Isoliquiritigenin	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
Isomaltose	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O
L-1-Pyrroline-3-hydroxy-5-carboxylate	C1C(C=NC1C(=O)O)O
Lactose	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
Lactosylceramide	CCCCCCCCCCCCCCCCCC(=O)NC(COC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O)C(C=CCCCCCCCCCCCCC)O
Linamarin	CC(C)(C#N)OC1C(C(C(C(O1)CO)O)O)O
Linoleate	CCCCCC=CCC=CCCCCCCCC(=O)[O-]
Linoleoyl-CoA	CCCCCC=CCC=CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
Liquiritigenin	C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O
Long-chain alcohol	
Long-chain alcohol wax ester	COC=O
Lotaustralin	CCC(C)(C#N)OC1C(C(C(C(O1)CO)O)O)O
Melatonin	CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
Melibiitol	C(C1C(C(C(C(O1)O)O)O)O)OCC(C(C(C(CO)O)O)O)O
Melibiose	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O
Methanol	CO
Naringenin	C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O
Naringenin chalcone	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2O)O)O)O
Neryl diphosphate	CC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C
O-Acetyl-L-homoserine	CC(=O)OCCC(C(=O)O)N
O-Phosphorylhomoserine	C(COP(=O)(O)O)C(C(=O)O)N
Octane	CCCCCCCC
Octanoic acid	CCCCCCCC(=O)O
Oleoyl-CoA	CCCCCCCCC=CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
Oxidized flavodoxin	
Oxidized rubredoxin	
P1,P3-Bis(5'-adenosyl) triphosphate	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)N
P1,P4-Bis(5'-guanosyl) tetraphosphate	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=NC6=C5N=C(NC6=O)N)O)O)O)O)N=C(NC2=O)N
Palmitoyl-CoA	CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
Phenylacetic acid	C1=CC=C(C=C1)CC(=O)O
Phytic acid	C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O
Pinocembrin	C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3
Pinocembrin chalcone	C1=CC=C(C=C1)C=CC(=O)C2=C(C=C(C=C2O)O)O
Plasmenylcholine	CCCCCCCCCCCCCCCC(=O)OC(COC=CCCCCCCCCCCCCCC)COP(=O)(O)OCC[N+](C)(C)C
Primary alcohol	CO
Propanal	CCC=O
Propane-1-ol	CCCO
Propenoyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=C)O
Prunasin	C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)CO)O)O)O
Pyridoxamine	CC1=NC=C(C(=C1O)CN)CO
Pyrimidine 5'-deoxynucleotide	C1C(C(OC1[N+]2=CC=CN=C2)COP(=O)(O)O)O
Reduced Vitamin K	CC1=C(C2=CC=CC=C2C(=C1CC=C(C)CCCC(C)CCCC(C)CCCC(C)C)O)O
Reduced flavodoxin	
Reduced rubredoxin	
Retinal	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=O)C)C
Retinol	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C
Ribonucleoside diphosphate	
S-(Hydroxymethyl)glutathione	C(CC(=O)NC(CSCO)C(=O)NCC(=O)O)C(C(=O)O)N
S-Formylglutathione	C(CC(=O)NC(CSC=O)C(=O)NCC(=O)O)C(C(=O)O)N
Sapienoyl-CoA	CCCCCCCCCC=CCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
Secologanin	COC(=O)C1=COC(C(C1CC=O)C=C)OC2C(C(C(C(O2)CO)O)O)O
Suc	C(CC(=O)O)C(=O)O
Triacylglycerol	CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
Trypanothione	C(CCNC(=O)CNC(=O)C(CS)NC(=O)CCC(C(=O)O)N)CNCCCNC(=O)CNC(=O)C(CS)NC(=O)CCC(C(=O)O)N
Trypanothione disulfide	C1CCNC(=O)CNC(=O)C(CSSCC(C(=O)NCC(=O)NCCCNC1)NC(=O)CCC(C(=O)O)N)NC(=O)CCC(C(=O)O)N
Tryparedoxin	
Tryparedoxin disulfide	
Tryptamine	C1=CC=C2C(=C1)C(=CN2)CCN
Urate	C12=C(NC(=O)N1)NC(=O)NC2=O
Vitamin K	CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C
Xanthine	C1=NC2=C(N1)C(=O)NC(=O)N2
alpha,alpha-Trehalose	C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O
alpha-D-Galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	
cis-2-Hydroxycinnamate	C1=CC=C(C(=C1)C=CC(=O)O)O
cis-beta-D-Glucosyl-2-hydroxycinnamate	C1=CC=C(C(=C1)C=CC(=O)O)OC2C(C(C(C(O2)CO)O)O)O
dGMP	C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)COP(=O)(O)O)O
ent-Isokaurene	CC1=CC23CCC4C(CCCC4(C2CCC1C3)C)(C)C
ent-Pimara-8(14),15-diene	CC1(CCCC2(C1CCC3=CC(CCC32)(C)C=C)C)C
gamma-L-Glutamyl-L-cysteinyl-beta-alanine	C(CC(=O)NC(CS)C(=O)NCCC(=O)[O-])C(C(=O)[O-])[NH3+]
gamma-Linolenoyl-CoA	CCCCCC=CCC=CCC=CCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
trans-2-Hydroxycinnamate	C1=CC=C(C(=C1)C=CC(=O)O)O
glycerone phosphate	C(C(=O)COP(=O)(O)O)O
constraint for import of oxaloacetate wrt carbon balance	
