cyano_met_id,kegg_id
uppg1_c[c],C05766
cpppg1_c[c],C05768
decdp_c[c],C17432
34dhmald_c[c],C05577
34dhoxpeg_c[c],C05576
4ahmmp_c[c],C01279
lprot_c[c],C02051
samprot_c[c],C01242
R-actn_c[c],C00466
C04051_c[c],C04051
23btdl_c[c],"C03046,C03044"
dxyl_c[c],C06257
acmana_c[c],C00645
provitd3_c[c],C01164
q8h2_c[c],C00390
3hechin_c[c],C15966
fru_c[c],C00095
fru_p[p],C00095
fru_e[e],C00095
glycogen_c[c],"C00182,C00369"
pac_c[c],"C00548,C15583"
suc6p_c[c],C02591
rib-D_c[c],C00121
