reaction_id,model,db,model_id,is_transp,in_pcm,ec,inChlVirid,uniprGpr,max_evid,evid_brenda,model_gpr,Solanum_lycopersicum,Nicotiana_glauca,Vigna_aconitifolia,Sorghum_bicolor,Triphysaria_versicolor,Vitis_vinifera,Castilleja_foliolosa,Pueraria_montana,Lotus_japonicus,Ipomoea_batatas,Centaurea_solstitialis,Triticum_aestivum,Nicotiana_tabacum,Chlorella_vulgaris,Apostasia_shenzhenica,Genlisea_aurea,Marchantia_polymorpha_subsp._ruderalis,Punica_granatum,Ricinus_communis,Citrus_unshiu,Saccharum_hybrid,Populus_alba_x_Populus_x,Prunus_yedoensis,Tetracentron_sinense,Cucurbita_maxima,Deinandra_increscens,Trifolium_pratense,Eriobotrya_japonica,Medicago_truncatula,Nicotiana_sylvestris,Zea_mays,Prunus_armeniaca,Musa_troglodytarum,Leucosceptrum_canum,Crocus_sativus,Prunus_salicina,Secale_cereale,Tanacetum_cinerariifolium,Handroanthus_impetiginosus,Populus_canescens,Ostreococcus_tauri,Lithospermum_erythrorhizon,Prasiola_cf_delicata,Striga_hermonthica,Physcomitrium_patens,Linum_tenue,Monoraphidium_neglectum,Carpinus_fangiana,Marchantia_polymorpha,Cucumis_sativus,Arabidopsis_thaliana,Mesostigma_viride,Rhododendron_williamsianum,Umbellularia_californica,Citrus_sinensis,Gossypium_hirsutum,Nicotiana_glutinosa,Glycine_max,Trapa_natans,Hevea_brasiliensis,Stylosanthes_scabra,Oryza_sativa,Brassica_campestris,Musa_balbisiana,Brassica_napus,Salvia_divinorum,Lolium_perenne,Solanum_commersonii,Cajanus_cajan,Prasiola_borealis,Humulus_lupulus,Panax_ginseng,Zingiber_officinale,Populus_tomentosa,Pisum_sativum,Cucumis_melo,Glycine_soja,Populus_trichocarpa,Micractinium_conductrix,Cannabis_sativa,Arabidopsis_arenosa,Chlorella_sorokiniana,Cucurbita_moschata,Cinnamomum_camphora,Tetratostichococcus_jenerensis,Populus_alba,pcm_gpr
3.1.3.-,panAlgae,ec,{'panAlgae': ['NanoG1319']},False,False,['3.1.3.-'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At1g79790 or At4g39120 or At4g27800'},2,False,"('', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g79790 or At4g39120 or At4g27800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g79790 or At4g39120 or At4g27800
1.1.1.267,panAlgae,ec,{'panAlgae': ['NanoG1425']},False,False,['1.1.1.267'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At5g62790', 'Oryza sativa subsp. japonica (Rice)': 'Os01g0106900 LOC_Os01g01710'}",2,True,"('panAlgae', 'Naga_100955g2')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g62790,,,,,,,,,,,Os01g0106900,,,,,,,,,,,,,,,,,,,,,,,,,At5g62790
4.2.1.59,"panAlgae, Cohadii",ec,"{'Cohadii': ['RXN-9655', 'RXN-10660', '4.2.1.61-RXN', 'RXN0-2144', 'RXN-9520', 'RXN-9557', 'RXN-10656', 'RXN-9533'], 'panAlgae': ['NanoG0711', 'NanoG0712']}",False,False,['4.2.1.59'],[1],{'Chlorella sorokiniana (Freshwater green alga)': 'A0A2P6U556'},1,True,"('panAlgae', 'Naga_100113g7 or Naga_100113g7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A2P6U556,,,,,A0A2P6U556
2.1.1.10,panAlgae,ec,{'panAlgae': ['R00650_h']},False,False,['2.1.1.10'],[0],{},0,False,"('panAlgae', 'NGA_2031100')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2.1.3,panAlgae,ec,"{'panAlgae': ['NanoG0764', 'NanoG0761', 'NanoG0852', 'NanoG0853']}",False,False,['6.2.1.3'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At1g77590'},2,True,"('panAlgae', 'Naga_100025g40 or Naga_100021g41 or Naga_100649g1 or Naga_100713g1 or Naga_100012g66 or Naga_103117g1 or Naga_102909g1 or Naga_102381g1 or Naga_102303g1 or Naga_101811g1 or Naga_100158g20 or Naga_101051g1 or Naga_100014g59 or Naga_100025g40 or Naga_100021g41 or Naga_100649g1 or Naga_100713g1 or Naga_100012g66 or Naga_103117g1 or Naga_102909g1 or Naga_102381g1 or Naga_102303g1 or Naga_101811g1 or Naga_100158g20 or Naga_101051g1 or Naga_100014g59 or Naga_100014g59 or Naga_101051g1 or Naga_100158g20 or Naga_101811g1 or Naga_102303g1 or Naga_102381g1 or Naga_102909g1 or Naga_103117g1 or Naga_100012g66 or Naga_100713g1 or Naga_100649g1 or Naga_100021g41 or Naga_100025g40 or Naga_100014g59 or Naga_101051g1 or Naga_100158g20 or Naga_101811g1 or Naga_102303g1 or Naga_102381g1 or Naga_102909g1 or Naga_103117g1 or Naga_100012g66 or Naga_100713g1 or Naga_100649g1 or Naga_100021g41 or Naga_100025g40')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g77590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g77590
3.2.1.22,panAlgae,ec,{'panAlgae': ['NanoG0396']},False,False,['3.2.1.22'],[0],{},0,True,"('panAlgae', 'Naga_100003g150 or Naga_100093g14')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1.1.85,panAlgae,ec,{'panAlgae': ['R04426_h']},False,False,['1.1.1.85'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At1g31180 or At1g80560 or At5g14200'},2,True,"('', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g31180 or At1g80560 or At5g14200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g31180 or At1g80560 or At5g14200
5.3.99.9,panAlgae,ec,{'panAlgae': ['R06948_h']},False,False,['5.3.99.9'],[2],{'Solanum lycopersicum (Tomato) (Lycopersicon esculentum)': 'Solyc06g074240.1'},2,True,"('', '')",Solyc06g074240.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solyc06g074240.1
2.3.1.12,panAlgae,ec,{'panAlgae': ['NanoG0420']},False,False,['2.3.1.12'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g25860 or At1g34430'},2,True,"('panAlgae', '(Naga_100064g27 or Naga_101735g1 or Naga_101326g1 or Naga_100130g6 or Naga_100136g4 or Naga_101324g2) and (Naga_100039g1 or Naga_100001g181 or Naga_100050g7) and (Naga_100257g2 or Naga_100065g5 or Naga_100594g3 or Naga_100165g9 or Naga_100605g1 or Naga_100008g2 or Naga_100006g108 or Naga_100258g1)')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g25860 or At1g34430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g25860 or At1g34430
2.3.1.41,panAlgae,ec,"{'panAlgae': ['NanoG0773', 'NanoG0779', 'NanoG0771', 'NanoG0775', 'NanoG0783', 'NanoG0781', 'NanoG0777']}",False,False,['2.3.1.41'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At1g74960 or At5g46290'},2,True,"('panAlgae', 'Naga_100093g2 or Naga_100001g49 or Naga_100007g48 or Naga_100028g49 or Naga_100002g173 or Naga_100093g2 or Naga_100001g49 or Naga_100007g48 or Naga_100028g49 or Naga_100002g173 or Naga_100093g2 or Naga_100001g49 or Naga_100007g48 or Naga_100028g49 or Naga_100002g173 or Naga_100093g2 or Naga_100001g49 or Naga_100007g48 or Naga_100028g49 or Naga_100002g173 or Naga_100093g2 or Naga_100001g49 or Naga_100007g48 or Naga_100028g49 or Naga_100002g173 or Naga_100093g2 or Naga_100001g49 or Naga_100007g48 or Naga_100028g49 or Naga_100002g173 or Naga_100093g2 or Naga_100001g49 or Naga_100007g48 or Naga_100028g49 or Naga_100002g173')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g74960 or At5g46290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g74960 or At5g46290
3.1.2.2,panAlgae,ec,"{'panAlgae': ['R08176_h', 'R08174_h']}",False,False,['3.1.2.2'],[0],{},0,True,"('panAlgae', ' or ')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5.1.47,panAlgae,ec,{'panAlgae': ['NanoG0070']},False,False,['2.5.1.47'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At2g43750'},2,True,"('panAlgae', 'Naga_100266g1 or Naga_100573g3 or Naga_100014g14 or Naga_100079g12 or Naga_100024g40')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At2g43750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At2g43750
2.7.1.31,panAlgae,ec,{'panAlgae': ['R01514_h']},False,False,['2.7.1.31'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At1g80380'},2,True,"('', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g80380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g80380
5.5.1.19,panAlgae,ec,{'panAlgae': ['NanoG1397']},False,False,['5.5.1.19'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g10230', 'Solanum lycopersicum (Tomato) (Lycopersicon esculentum)': 'Solyc06g074240.1'}",2,True,"('panAlgae', 'Naga_100005g43')",Solyc06g074240.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g10230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g10230
1.1.1.23,panAlgae,ec,{'panAlgae': ['NanoG0164']},False,False,['1.1.1.23'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At5g63890', 'Oryza sativa subsp. japonica (Rice)': 'Os01g0232700 LOC_Os01g13190'}",2,True,"('panAlgae', 'Naga_100003g152 or Naga_100036g36')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g63890,,,,,,,,,,,Os01g0232700,,,,,,,,,,,,,,,,,,,,,,,,,At5g63890
1.3.1.24,panAlgae,ec,{'panAlgae': ['NanoG1264']},False,False,['1.3.1.24'],[0],{},0,False,"('', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.3.4,panAlgae,ec,"{'panAlgae': ['NanoG0896', 'NanoG0904', '@Pha_dg226synth', 'NanoG0898', 'NanoG0900', 'NanoG0910', 'NanoG0902', 'NanoG0908', '@Chl_dg226synth', 'NanoG0892', 'NanoG0894']}",False,False,['3.1.3.4'],[0],{},0,True,"('panAlgae', 'Naga_100038g41 or Naga_100038g41 or PHATRDRAFT_43773 or Naga_100038g41 or Naga_100038g41 or Naga_100038g41 or Naga_100038g41 or Naga_100038g41 or CHLREDRAFT_108112 or Naga_100038g41 or Naga_100038g41')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1.1.31,panAlgae,ec,{'panAlgae': ['NanoG1707']},False,False,['4.1.1.31'],[0],{},0,True,"('', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.3.9,panAlgae,ec,{'panAlgae': ['R00303_h']},False,False,['3.1.3.9'],[0],{},0,False,"('', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2.1.33,panAlgae,ec,{'panAlgae': ['R10170_h']},False,False,['4.2.1.33'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At2g43100 or At2g43090 or At4g13430 or At3g58990'},2,True,"('', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At2g43100 or At2g43090 or At4g13430 or At3g58990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At2g43100 or At2g43090 or At4g13430 or At3g58990
2.2.1.1,panAlgae,ec,{'panAlgae': ['NanoG0516']},False,False,['2.2.1.1'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g60750 or At2g45290'},2,True,"('panAlgae', 'Naga_100062g4 or Naga_100001g128')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g60750 or At2g45290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g60750 or At2g45290
4.2.1.17,panAlgae,ec,"{'panAlgae': ['NanoG0859', 'NanoG0856', 'NanoG0862', 'NanoG0823']}",False,False,['4.2.1.17'],[0],{},0,False,"('panAlgae', 'Naga_100220g12 or Naga_100034g21 or Naga_100466g3 or Naga_100113g7 or Naga_100196g7 or Naga_100268g10 or Naga_100001g38 or Naga_100006g36 or Naga_100006g32 or Naga_100220g12 or Naga_100034g21 or Naga_100466g3 or Naga_100113g7 or Naga_100196g7 or Naga_100268g10 or Naga_100001g38 or Naga_100006g36 or Naga_100006g32 or Naga_100220g12 or Naga_100034g21 or Naga_100466g3 or Naga_100113g7 or Naga_100196g7 or Naga_100268g10 or Naga_100001g38 or Naga_100006g36 or Naga_100006g32 or Naga_100220g12 or Naga_100034g21 or Naga_100466g3 or Naga_100113g7 or Naga_100196g7 or Naga_100268g10 or Naga_100001g38 or Naga_100006g36 or Naga_100006g32')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9.6.1,panAlgae,ec,{'panAlgae': ['NanoG0600']},False,False,['1.9.6.1'],[0],{},0,False,"('panAlgae', 'Naga_100008g137 or Naga_1Chloroplast76')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1.1.14,panAlgae,ec,{'panAlgae': ['R04405_h']},False,False,['2.1.1.14'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At5g20980'},2,True,"('', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g20980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g20980
2.6.1.42,panAlgae,ec,{'panAlgae': ['R01090_h']},False,False,['2.6.1.42'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At5g65780 or At3g49680 or At1g10070'},2,True,"('panAlgae', 'NGA_0392400')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g65780 or At3g49680 or At1g10070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g65780 or At3g49680 or At1g10070
3.1.3.27,panAlgae,ec,"{'panAlgae': ['NanoG1683', 'NanoG0722', 'NanoG0718', 'NanoG0724', 'NanoG0726', 'NanoG0720', 'NanoG1621', 'NanoG1681']}",False,False,['3.1.3.27'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g58830'},2,True,"('panAlgae', 'Naga_100038g4 or Naga_100038g4 or Naga_100038g4 or Naga_100038g4 or Naga_100038g4 or Naga_100038g4 or Naga_100038g4 or Naga_100038g4')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g58830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g58830
2.2.1.6,panAlgae,ec,{'panAlgae': ['NanoG1245']},False,False,['2.2.1.6'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g48560', 'Oryza sativa subsp. japonica (Rice)': 'Os02g0510200 LOC_Os02g30630 or Os04g0389800 LOC_Os04g32010'}",2,True,"('panAlgae', 'Naga_1Chloroplast14')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g48560,,,,,,,,,,,Os02g0510200 or Os04g0389800,,,,,,,,,,,,,,,,,,,,,,,,,At3g48560
2.3.1.51,panAlgae,ec,"{'panAlgae': ['R02241_c205_h', 'R02241_c183_h', 'NanoG0959', '@Chl_R02241_c226_h', '@Pha_R02241_c226_h', 'R02241_c204_h', 'R02241_c182_h']}",False,False,['2.3.1.51'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At4g30580'},2,True,"('panAlgae', 'NGA_2112210 or NGA_2112220 or NGA_2112210 or NGA_2112220 or Naga_100904g1 or Naga_100007g86 or CHLREDRAFT_121979 or CHLREDRAFT_174358 or CHLREDRAFT_183258 or PHATRDRAFT_11916 or PHATRDRAFT_1971 or PHATRDRAFT_20460 or PHATRDRAFT_42446 or PHATRDRAFT_43099 or NGA_2112210 or NGA_2112220 or NGA_2112210 or NGA_2112220')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At4g30580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At4g30580
1.13.11.51,"panAlgae, potato",ec,"{'panAlgae': ['NanoG1417'], 'potato': ['9CNEOXANDOX']}",False,False,['1.13.11.51'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At1g78390 or At3g14440 or At4g18350 or At3g24220 or At1g30100', 'Oryza sativa subsp. japonica (Rice)': 'Os03g0645900 LOC_Os03g44380 or Os12g0617400 LOC_Os12g42280 or Os07g0154100 LOC_Os07g05940 or Os02g0704000 LOC_Os02g47510 or Os12g0435200 LOC_Os12g24800', 'Solanum lycopersicum (Tomato) (Lycopersicon esculentum)': 'Solyc07g056570.1.1 or Solyc08g016720.1.1'}",2,True,"('panAlgae', 'Naga_101940g1 or Naga_100022g32')",Solyc07g056570.1.1 or Solyc08g016720.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g78390 or At3g14440 or At4g18350 or At3g24220 or At1g30100,,,,,,,,,,,Os03g0645900 or Os12g0617400 or Os07g0154100 or Os02g0704000 or Os12g0435200,,,,,,,,,,,,,,,,,,,,,,,,,At1g78390 or At3g14440 or At4g18350 or At3g24220 or At1g30100
2.3.1.86,panAlgae,ec,{'panAlgae': ['NanoG0711']},False,False,['2.3.1.86'],[0],{},0,True,"('panAlgae', 'Naga_100113g7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1.1.100,"panAlgae, Cohadii",ec,"{'Cohadii': ['RXN-9540', 'RXN-9518', 'RXN-9532', 'RXN-9633'], 'panAlgae': ['NanoG0699']}",False,False,['1.1.1.100'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At1g24360'},2,False,"('panAlgae', 'Naga_100024g16 or Naga_100034g29 or Naga_100144g2 or Naga_100037g12 or Naga_100005g136 or Naga_100265g3 or Naga_100148g2 or Naga_100016g70 or Naga_100966g2 or Naga_102202g1 or Naga_102381g1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g24360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g24360
4.2.1.51,panAlgae,ec,{'panAlgae': ['R00691_h']},False,False,['4.2.1.51'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At1g11790 or At3g07630 or At1g08250'},2,True,"('', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g11790 or At3g07630 or At1g08250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g11790 or At3g07630 or At1g08250
2.2.1.2,panAlgae,ec,{'panAlgae': ['NanoG0511']},False,False,['2.2.1.2'],[0],{},0,True,"('panAlgae', 'Naga_100215g12 or Naga_100017g20')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.17.1.8,panAlgae,ec,{'panAlgae': ['R04199_h']},False,False,['1.17.1.8'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At2g44040 or At3g59890', 'Oryza sativa subsp. japonica (Rice)': 'Os02g0436400 LOC_Os02g24020 or Os03g0245100 LOC_Os03g14120'}",2,True,"('', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At2g44040 or At3g59890,,,,,,,,,,,Os02g0436400 or Os03g0245100,,,,,,,,,,,,,,,,,,,,,,,,,At2g44040 or At3g59890
2.7.1.177,panAlgae,ec,{'panAlgae': ['NanoG1298']},False,False,['2.7.1.177'],[0],{},0,False,"('', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1.1.7,panAlgae,ec,{'panAlgae': ['R02735_h']},False,False,['5.1.1.7'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g53580', 'Oryza sativa subsp. japonica (Rice)': 'Os12g0567200 LOC_Os12g37960'}",2,False,"('', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g53580,,,,,,,,,,,Os12g0567200,,,,,,,,,,,,,,,,,,,,,,,,,At3g53580
2.5.1.115,panAlgae,ec,{'panAlgae': ['NanoG1104']},False,False,['2.5.1.115'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At2g18950', 'Oryza sativa subsp. japonica (Rice)': 'Os07g0576000 LOC_Os07g38850 or Os06g0658900 LOC_Os06g44840'}",2,True,"('panAlgae', 'Naga_100225g6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At2g18950,,,,,,,,,,,Os07g0576000 or Os06g0658900,,,,,,,,,,,,,,,,,,,,,,,,,At2g18950
1.1.1.36,panAlgae,ec,"{'panAlgae': ['NanoG0462', 'NanoG0454']}",False,False,['1.1.1.36'],[0],{},0,False,"('panAlgae', 'Naga_100044g17 or Naga_100004g168 or Naga_100005g68 or Naga_101811g1 or Naga_102303g1 or Naga_102381g1 or Naga_102909g1 or Naga_103117g1 or Naga_100044g17 or Naga_100004g168 or Naga_100005g68 or Naga_101811g1 or Naga_102303g1 or Naga_102381g1 or Naga_102909g1 or Naga_103117g1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5.1.29,panAlgae,ec,{'panAlgae': ['NanoG1429']},False,False,['2.5.1.29'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g29430 or At2g18620 or At4g36810 or At3g14530 or At1g78510 or At3g14550 or At3g14510 or At3g32040'},2,True,"('panAlgae', 'Naga_100014g62 or Naga_100002g113')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g29430 or At2g18620 or At4g36810 or At3g14530 or At1g78510 or At3g14550 or At3g14510 or At3g32040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g29430 or At2g18620 or At4g36810 or At3g14530 or At1g78510 or At3g14550 or At3g14510 or At3g32040
1.12.1.4,panAlgae,ec,{'panAlgae': ['NanoG1597']},False,False,['1.12.1.4'],[0],{},0,False,"('panAlgae', 'Naga_100941g1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3.3.13,panAlgae,ec,{'panAlgae': ['R01213_h']},False,False,['2.3.3.13'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At1g18500 or At1g74040'},2,True,"('panAlgae', 'NGA_0469100')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g18500 or At1g74040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g18500 or At1g74040
5.2.1.13,panAlgae,ec,{'panAlgae': ['R07512_h']},False,False,['5.2.1.13'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At1g06820'},2,True,"('', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g06820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g06820
1.14.15.24,panAlgae,ec,"{'panAlgae': ['@Chl_R07851_h', 'R09747_h', '@Nan_R07572_h', '@Nan_R07568_h']}",False,False,['1.14.15.24'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At5g52570 or At4g25700'},2,True,"('panAlgae', 'CHLREDRAFT_164400 or  or  or ')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g52570 or At4g25700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g52570 or At4g25700
2.7.8.26,panAlgae,ec,{'panAlgae': ['NanoG1265']},False,False,['2.7.8.26'],[0],{},0,False,"('panAlgae', 'Naga_100207g7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7.4.3,panAlgae,ec,{'panAlgae': ['NanoG1442']},False,False,['2.7.4.3'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At2g37250 or At5g35170 or At5g47840 or At2g39270', 'Oryza sativa subsp. japonica (Rice)': 'Os04g0671100 LOC_Os04g57540 or Os08g0288200 LOC_Os08g19140 or Os08g0109300 LOC_Os08g01770'}",2,True,"('panAlgae', 'Naga_100254g1 or Naga_100475g5 or Naga_100486g4 or Naga_100010g3 or Naga_100002g130')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At2g37250 or At5g35170 or At5g47840 or At2g39270,,,,,,,,,,,Os04g0671100 or Os08g0288200 or Os08g0109300,,,,,,,,,,,,,,,,,,,,,,,,,At2g37250 or At5g35170 or At5g47840 or At2g39270
